iter	Passed	Remaining
0	137	137419
1	138	69296
2	140	46533
3	141	35183
4	142	28401
5	143	23831
6	144	20568
7	146	18116
8	147	16261
9	152	15096
10	153	13806
11	154	12741
12	156	11845
13	157	11063
14	158	10382
15	159	9796
16	161	9320
17	162	8850
18	164	8494
19	165	8132
20	167	7788
21	168	7470
22	168	7176
23	169	6904
24	170	6657
25	171	6430
26	172	6219
27	173	6021
28	174	5838
29	175	5668
30	176	5512
31	179	5415
32	180	5276
33	180	5140
34	181	5007
35	182	4885
36	183	4770
37	184	4662
38	185	4559
39	185	4460
40	186	4366
41	187	4277
42	188	4193
43	189	4111
44	190	4033
45	190	3958
46	193	3921
47	194	3853
48	195	3787
49	196	3740
50	198	3684
51	198	3627
52	200	3582
53	201	3535
54	202	3483
55	203	3434
56	204	3387
57	205	3338
58	206	3293
59	207	3247
60	208	3204
61	208	3161
62	209	3119
63	210	3080
64	211	3043
65	212	3008
66	213	2974
67	215	2949
68	216	2917
69	217	2888
70	218	2861
71	219	2833
72	220	2805
73	221	2775
74	222	2748
75	223	2720
76	224	2695
77	225	2668
78	226	2642
79	227	2619
80	229	2608
81	230	2585
82	231	2557
83	232	2535
84	233	2513
85	234	2494
86	235	2473
87	236	2453
88	237	2433
89	238	2415
90	239	2395
91	240	2376
92	241	2357
93	243	2349
94	245	2334
95	246	2319
96	247	2303
97	248	2286
98	249	2270
99	250	2255
100	251	2239
101	252	2224
102	253	2211
103	255	2199
104	257	2198
105	259	2191
106	260	2178
107	262	2165
108	263	2151
109	264	2141
110	267	2139
111	268	2128
112	269	2116
113	270	2103
114	275	2121
115	277	2112
116	278	2102
117	280	2096
118	282	2089
119	283	2079
120	285	2071
121	286	2058
122	290	2068
123	291	2058
124	292	2050
125	294	2040
126	295	2028
127	296	2018
128	297	2009
129	298	2000
130	299	1989
131	301	1980
132	303	1979
133	305	1971
134	306	1964
135	307	1955
136	308	1946
137	310	1936
138	310	1926
139	312	1916
140	313	1908
141	313	1896
142	314	1886
143	315	1876
144	317	1872
145	319	1868
146	320	1861
147	321	1853
148	323	1844
149	324	1836
150	325	1829
151	326	1822
152	327	1814
153	328	1806
154	329	1797
155	330	1788
156	333	1788
157	334	1781
158	335	1773
159	336	1765
160	336	1755
161	337	1747
162	338	1739
163	339	1731
164	340	1724
165	341	1716
166	342	1709
167	343	1701
168	344	1696
169	345	1688
170	348	1691
171	350	1685
172	351	1678
173	352	1672
174	353	1665
175	354	1659
176	356	1657
177	358	1655
178	360	1652
179	364	1659
180	366	1656
181	367	1652
182	369	1648
183	371	1646
184	373	1644
185	375	1644
186	378	1644
187	379	1639
188	380	1634
189	382	1629
190	384	1629
191	386	1625
192	387	1620
193	389	1616
194	390	1612
195	394	1616
196	395	1614
197	397	1610
198	399	1606
199	400	1601
200	401	1596
201	402	1591
202	404	1586
203	405	1581
204	407	1580
205	409	1579
206	411	1574
207	412	1572
208	414	1568
209	416	1565
210	417	1561
211	419	1558
212	420	1554
213	424	1560
214	426	1556
215	427	1552
216	429	1548
217	430	1544
218	432	1541
219	434	1540
220	436	1537
221	438	1535
222	439	1533
223	442	1531
224	443	1528
225	445	1526
226	447	1522
227	448	1518
228	450	1516
229	452	1515
230	454	1511
231	455	1508
232	457	1505
233	458	1502
234	461	1501
235	463	1500
236	465	1498
237	467	1495
238	468	1491
239	469	1488
240	471	1485
241	473	1482
242	474	1479
243	476	1475
244	477	1472
245	479	1469
246	481	1467
247	483	1465
248	485	1463
249	486	1460
250	488	1456
251	489	1453
252	490	1449
253	492	1445
254	493	1442
255	497	1444
256	498	1442
257	500	1438
258	501	1435
259	503	1433
260	505	1432
261	507	1428
262	508	1424
263	511	1427
264	513	1424
265	515	1421
266	516	1417
267	517	1413
268	518	1409
269	519	1405
270	521	1403
271	522	1399
272	525	1400
273	528	1399
274	529	1396
275	531	1393
276	532	1389
277	533	1385
278	534	1382
279	535	1378
280	537	1376
281	540	1375
282	542	1374
283	544	1371
284	545	1368
285	546	1365
286	548	1361
287	549	1358
288	550	1355
289	552	1352
290	555	1353
291	557	1350
292	558	1347
293	560	1345
294	561	1342
295	563	1339
296	564	1336
297	565	1332
298	566	1328
299	567	1324
300	569	1322
301	571	1321
302	572	1317
303	573	1314
304	575	1310
305	576	1307
306	577	1304
307	578	1300
308	579	1296
309	580	1293
310	582	1289
311	583	1285
312	585	1284
313	586	1281
314	588	1279
315	589	1275
316	590	1271
317	591	1268
318	592	1264
319	593	1260
320	594	1257
321	595	1253
322	596	1249
323	597	1246
324	599	1245
325	600	1242
326	601	1238
327	602	1235
328	603	1231
329	604	1227
330	605	1224
331	606	1220
332	607	1217
333	608	1213
334	609	1210
335	610	1206
336	611	1203
337	614	1204
338	616	1201
339	617	1199
340	618	1195
341	619	1192
342	620	1188
343	621	1185
344	622	1181
345	623	1178
346	624	1174
347	625	1171
348	625	1167
349	628	1167
350	629	1164
351	630	1161
352	631	1157
353	632	1154
354	633	1150
355	634	1147
356	635	1144
357	636	1140
358	637	1137
359	638	1134
360	639	1131
361	640	1127
362	640	1124
363	641	1121
364	644	1120
365	645	1117
366	646	1114
367	646	1111
368	647	1107
369	648	1104
370	649	1101
371	650	1098
372	651	1095
373	652	1092
374	653	1089
375	654	1086
376	655	1083
377	656	1080
378	658	1078
379	659	1075
380	660	1072
381	661	1069
382	662	1066
383	663	1063
384	664	1060
385	665	1057
386	665	1054
387	666	1051
388	667	1048
389	668	1045
390	669	1042
391	670	1040
392	671	1037
393	674	1036
394	675	1034
395	676	1031
396	677	1028
397	678	1025
398	679	1023
399	680	1020
400	681	1017
401	681	1014
402	682	1011
403	683	1008
404	684	1005
405	685	1003
406	686	1000
407	688	999
408	690	997
409	691	994
410	692	991
411	692	988
412	693	986
413	694	983
414	695	980
415	696	977
416	697	975
417	698	972
418	699	969
419	700	966
420	701	964
421	702	961
422	703	959
423	704	957
424	705	954
425	706	951
426	707	949
427	708	946
428	709	943
429	710	941
430	711	938
431	711	936
432	712	933
433	713	930
434	714	928
435	715	925
436	717	924
437	718	922
438	719	919
439	720	917
440	721	914
441	722	912
442	723	909
443	724	907
444	725	904
445	726	901
446	727	899
447	727	896
448	728	894
449	729	891
450	733	892
451	735	891
452	736	889
453	737	887
454	739	885
455	740	883
456	741	880
457	742	878
458	743	875
459	743	873
460	745	871
461	748	871
462	749	869
463	751	867
464	752	865
465	753	863
466	754	861
467	756	859
468	757	858
469	759	856
470	761	854
471	763	853
472	764	851
473	765	849
474	766	847
475	767	845
476	769	843
477	770	841
478	773	841
479	774	839
480	777	838
481	778	836
482	779	834
483	780	832
484	781	830
485	783	828
486	784	826
487	785	824
488	786	822
489	788	820
490	789	818
491	791	816
492	792	815
493	793	813
494	794	810
495	795	808
496	797	806
497	798	804
498	799	802
499	800	800
500	801	798
501	802	796
502	804	794
503	805	793
504	807	791
505	809	790
506	810	788
507	811	786
508	813	784
509	814	782
510	815	780
511	817	778
512	818	777
513	821	776
514	822	774
515	823	772
516	824	770
517	826	768
518	827	767
519	828	765
520	830	763
521	831	761
522	832	759
523	834	757
524	836	757
525	837	755
526	838	753
527	840	751
528	841	749
529	843	747
530	844	745
531	845	743
532	847	742
533	848	740
534	850	738
535	851	737
536	852	735
537	854	733
538	855	731
539	857	730
540	858	728
541	860	727
542	861	725
543	865	725
544	867	724
545	869	722
546	870	721
547	871	719
548	872	717
549	873	715
550	874	712
551	875	710
552	876	708
553	877	706
554	880	705
555	881	703
556	882	701
557	883	699
558	884	697
559	885	696
560	886	694
561	888	692
562	889	690
563	890	688
564	891	686
565	893	685
566	895	683
567	896	682
568	898	680
569	900	679
570	901	677
571	903	675
572	904	674
573	906	672
574	907	670
575	910	670
576	911	668
577	913	666
578	914	664
579	915	662
580	916	661
581	917	659
582	919	657
583	920	655
584	921	653
585	922	651
586	925	650
587	926	649
588	927	647
589	929	645
590	930	643
591	931	641
592	932	640
593	933	638
594	935	636
595	936	634
596	937	632
597	940	631
598	941	630
599	942	628
600	943	626
601	945	624
602	946	623
603	947	621
604	949	619
605	950	617
606	951	616
607	955	615
608	956	614
609	957	612
610	959	610
611	960	608
612	961	607
613	962	605
614	963	603
615	965	601
616	966	599
617	968	598
618	969	596
619	971	595
620	972	593
621	973	591
622	974	589
623	975	588
624	977	586
625	978	584
626	980	583
627	981	581
628	984	580
629	985	578
630	987	577
631	989	575
632	991	574
633	993	573
634	995	572
635	999	571
636	1001	570
637	1003	569
638	1004	567
639	1006	566
640	1007	564
641	1009	562
642	1011	561
643	1015	561
644	1017	560
645	1022	560
646	1025	559
647	1026	557
648	1028	556
649	1034	557
650	1037	556
651	1039	554
652	1041	553
653	1045	553
654	1047	551
655	1049	550
656	1051	549
657	1053	547
658	1054	545
659	1055	543
660	1056	542
661	1059	541
662	1061	539
663	1062	537
664	1063	535
665	1065	534
666	1067	532
667	1068	531
668	1070	529
669	1071	527
670	1074	526
671	1076	525
672	1077	523
673	1078	521
674	1080	520
675	1081	518
676	1084	517
677	1086	515
678	1089	515
679	1091	513
680	1094	512
681	1097	511
682	1099	510
683	1103	509
684	1104	508
685	1106	506
686	1107	504
687	1109	503
688	1110	501
689	1111	499
690	1113	497
691	1114	495
692	1115	494
693	1118	493
694	1120	491
695	1122	490
696	1123	488
697	1124	486
698	1126	485
699	1128	483
700	1130	482
701	1133	481
702	1135	479
703	1137	478
704	1139	476
705	1141	475
706	1142	473
707	1144	472
708	1147	471
709	1149	469
710	1152	468
711	1153	466
712	1155	464
713	1156	463
714	1157	461
715	1159	459
716	1165	459
717	1168	458
718	1170	457
719	1174	456
720	1176	455
721	1180	454
722	1182	452
723	1183	451
724	1189	451
725	1191	449
726	1195	448
727	1198	447
728	1201	446
729	1203	444
730	1205	443
731	1206	441
732	1214	442
733	1215	440
734	1217	438
735	1218	437
736	1220	435
737	1224	434
738	1227	433
739	1229	431
740	1230	430
741	1232	428
742	1234	426
743	1236	425
744	1237	423
745	1240	422
746	1242	420
747	1244	419
748	1246	417
749	1248	416
750	1249	414
751	1253	413
752	1255	411
753	1256	409
754	1257	408
755	1259	406
756	1260	404
757	1262	403
758	1264	401
759	1265	399
760	1269	398
761	1271	397
762	1273	395
763	1274	393
764	1276	392
765	1278	390
766	1279	388
767	1283	387
768	1285	386
769	1286	384
770	1290	383
771	1292	381
772	1294	380
773	1296	378
774	1299	377
775	1301	375
776	1302	373
777	1304	372
778	1305	370
779	1306	368
780	1308	366
781	1309	365
782	1310	363
783	1313	361
784	1315	360
785	1317	358
786	1319	357
787	1320	355
788	1321	353
789	1322	351
790	1324	349
791	1325	348
792	1327	346
793	1329	344
794	1330	343
795	1331	341
796	1332	339
797	1334	337
798	1335	335
799	1336	334
800	1337	332
801	1338	330
802	1339	328
803	1341	327
804	1343	325
805	1345	323
806	1346	322
807	1348	320
808	1349	318
809	1350	316
810	1351	315
811	1353	313
812	1354	311
813	1355	309
814	1358	308
815	1359	306
816	1360	304
817	1361	303
818	1363	301
819	1364	299
820	1365	297
821	1366	295
822	1367	294
823	1369	292
824	1370	290
825	1372	289
826	1374	287
827	1375	285
828	1376	283
829	1377	282
830	1379	280
831	1380	278
832	1381	277
833	1382	275
834	1384	273
835	1385	271
836	1388	270
837	1389	268
838	1390	266
839	1392	265
840	1393	263
841	1394	261
842	1395	259
843	1397	258
844	1398	256
845	1399	254
846	1401	253
847	1403	251
848	1404	249
849	1405	248
850	1406	246
851	1408	244
852	1409	242
853	1410	241
854	1411	239
855	1412	237
856	1414	235
857	1416	234
858	1418	232
859	1419	231
860	1421	229
861	1422	227
862	1424	226
863	1425	224
864	1426	222
865	1427	220
866	1428	219
867	1431	217
868	1432	216
869	1434	214
870	1435	212
871	1436	210
872	1437	209
873	1438	207
874	1440	205
875	1441	204
876	1443	202
877	1444	200
878	1446	199
879	1448	197
880	1449	195
881	1451	194
882	1452	192
883	1453	190
884	1455	189
885	1456	187
886	1457	185
887	1458	183
888	1461	182
889	1462	180
890	1464	179
891	1465	177
892	1466	175
893	1467	174
894	1468	172
895	1470	170
896	1471	168
897	1472	167
898	1473	165
899	1476	164
900	1477	162
901	1478	160
902	1480	158
903	1481	157
904	1482	155
905	1483	153
906	1484	152
907	1486	150
908	1487	148
909	1488	147
910	1490	145
911	1492	143
912	1493	142
913	1494	140
914	1495	138
915	1497	137
916	1498	135
917	1499	133
918	1500	132
919	1501	130
920	1502	128
921	1504	127
922	1506	125
923	1507	123
924	1508	122
925	1509	120
926	1511	118
927	1512	117
928	1513	115
929	1514	114
930	1515	112
931	1516	110
932	1518	109
933	1520	107
934	1521	105
935	1522	104
936	1524	102
937	1525	100
938	1526	99
939	1527	97
940	1529	95
941	1530	94
942	1531	92
943	1532	90
944	1534	89
945	1536	87
946	1537	86
947	1538	84
948	1539	82
949	1540	81
950	1542	79
951	1543	77
952	1544	76
953	1545	74
954	1546	72
955	1548	71
956	1550	69
957	1551	68
958	1552	66
959	1553	64
960	1554	63
